index,n(SMILES),PCE_ave(%),ROMol,p(SMILES),ROMol
0,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(CCCCCCCCCC)CCCCCCCCCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,6.86,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e122d0>,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3750>
1,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,2.98,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12330>,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3bd0>
2,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,8.12,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12210>,CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)S9,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f37b0>
3,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,8.35,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e124b0>,CC1=CC2=C(S1)C(C3=CC=C(SCCCCCCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(SCCCCCCCC)S%11,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3b70>
4,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,8.33,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12510>,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC(Cl)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(Cl)=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3ab0>
5,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,6.8,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12570>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3a50>
16,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C%13=C(C%14=C%15C%16=CC%17C%14C(C(N(C(CC)CC)C%17=O)=O)=C%13)C%18=CC=C%19C%20=C%18C%15=C(N%16CCCCCC)C=C%20C(N(C(CC)CC)C%19=O)=O)S%12)N(CCCCCCCC)C%11=O,5.3,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12630>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3270>
17,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C(C=C%13C(N(C(CC)CC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C(C=CC=C%17)=C%17S%15)S%12)N(CCCCCCCC)C%11=O,1.1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12690>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3db0>
18,CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O,0.2,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e126f0>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3e10>
19,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,3.88,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6e12750>,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52f3e70>
